oktmo,name,year,naturesecure
01642000,Советский муниципальный район,2019,1117.0
01642000,Советский муниципальный район,2020,1501.0
01643000,Солонешенский муниципальный район,2008,64.5
01643000,Солонешенский муниципальный район,2009,65.6
01644000,Солтонский муниципальный район,2008,0.0
01644000,Солтонский муниципальный район,2009,104.5
01644000,Солтонский муниципальный район,2010,146.5
01644000,Солтонский муниципальный район,2011,39.5
01644000,Солтонский муниципальный район,2013,0.0
01644000,Солтонский муниципальный район,2014,0.0
01645000,Шелаболихинский муниципальный район,2008,0.0
01645000,Шелаболихинский муниципальный район,2009,0.0
01645000,Шелаболихинский муниципальный район,2010,719.0
01645000,Шелаболихинский муниципальный район,2011,2045.1
01645000,Шелаболихинский муниципальный район,2012,855.0
01645000,Шелаболихинский муниципальный район,2013,575.0
01645000,Шелаболихинский муниципальный район,2014,0.0
01645000,Шелаболихинский муниципальный район,2020,2069.0
01645000,Шелаболихинский муниципальный район,2021,3781.0
01646000,Табунский муниципальный район,2008,0.0
01646000,Табунский муниципальный район,2009,0.0
01646000,Табунский муниципальный район,2010,0.0
01646000,Табунский муниципальный район,2012,50.0
01646000,Табунский муниципальный район,2013,135.0
01646000,Табунский муниципальный район,2014,65.0
01647000,Тальменский муниципальный район,2008,0.0
01647000,Тальменский муниципальный район,2009,0.0
01647000,Тальменский муниципальный район,2010,0.0
01647000,Тальменский муниципальный район,2011,86.7
01647000,Тальменский муниципальный район,2012,407.0
01647000,Тальменский муниципальный район,2013,36.0
01647000,Тальменский муниципальный район,2014,34.0
01647000,Тальменский муниципальный район,2019,936.0
01647000,Тальменский муниципальный район,2020,369.0
01647000,Тальменский муниципальный район,2021,349.0
01648000,Тогульский муниципальный район,2008,0.0
01648000,Тогульский муниципальный район,2009,0.0
01648000,Тогульский муниципальный район,2013,0.0
01648000,Тогульский муниципальный район,2014,0.0
01649000,Топчихинский муниципальный район,2008,56.6
01649000,Топчихинский муниципальный район,2009,56.4
01649000,Топчихинский муниципальный район,2011,40.6
01650000,Третьяковский муниципальный район,2008,168.3
01650000,Третьяковский муниципальный район,2009,181.3
01650000,Третьяковский муниципальный район,2010,1096.6
01650000,Третьяковский муниципальный район,2011,1179.0
01650000,Третьяковский муниципальный район,2012,396.0
01650000,Третьяковский муниципальный район,2013,318.0
01650000,Третьяковский муниципальный район,2014,244.0
01650000,Третьяковский муниципальный район,2015,132.0
01650000,Третьяковский муниципальный район,2016,144.0
01650000,Третьяковский муниципальный район,2020,665.0
01651000,Троицкий муниципальный район,2008,0.0
01651000,Троицкий муниципальный район,2009,10.0
01651000,Троицкий муниципальный район,2010,0.0
01651000,Троицкий муниципальный район,2011,390.4
01651000,Троицкий муниципальный район,2012,368.0
01651000,Троицкий муниципальный район,2013,280.0
01651000,Троицкий муниципальный район,2014,10.0
01651000,Троицкий муниципальный район,2018,669.0
01651000,Троицкий муниципальный район,2019,1048.0
01651000,Троицкий муниципальный район,2020,1573.0
01651000,Троицкий муниципальный район,2021,2038.0
01651000,Троицкий муниципальный район,2022,2499.0
01652000,Тюменцевский муниципальный район,2008,21.1
01652000,Тюменцевский муниципальный район,2009,14.3
01652000,Тюменцевский муниципальный район,2010,10.0
01652000,Тюменцевский муниципальный район,2011,87.3
01652000,Тюменцевский муниципальный район,2012,262.0
01652000,Тюменцевский муниципальный район,2013,373.0
01652000,Тюменцевский муниципальный район,2014,233.0
01653000,Угловский муниципальный район,2008,75.5
01653000,Угловский муниципальный район,2009,40.7
01653000,Угловский муниципальный район,2010,0.0
01653000,Угловский муниципальный район,2011,142.6
01653000,Угловский муниципальный район,2012,95.0
01653000,Угловский муниципальный район,2013,137.0
01653000,Угловский муниципальный район,2014,124.0
01653000,Угловский муниципальный район,2016,74.0
01654000,Усть-Калманский муниципальный район,2008,44.0
01654000,Усть-Калманский муниципальный район,2009,0.0
01654000,Усть-Калманский муниципальный район,2010,0.0
01654000,Усть-Калманский муниципальный район,2011,305.5
01654000,Усть-Калманский муниципальный район,2012,2811.0
01654000,Усть-Калманский муниципальный район,2013,4060.0
01654000,Усть-Калманский муниципальный район,2014,585.0
01655000,Усть-Пристанский муниципальный район,2008,0.0
01655000,Усть-Пристанский муниципальный район,2009,0.0
01656000,Хабарский муниципальный район,2008,225.4
01656000,Хабарский муниципальный район,2009,457.0
01656000,Хабарский муниципальный район,2010,586.0
01656000,Хабарский муниципальный район,2011,249.6
01656000,Хабарский муниципальный район,2012,1075.0
01656000,Хабарский муниципальный район,2013,732.0
01656000,Хабарский муниципальный район,2014,1097.0
01656000,Хабарский муниципальный район,2021,926.0
01657000,Целинный муниципальный район,2008,530.6
01657000,Целинный муниципальный район,2009,474.0
01657000,Целинный муниципальный район,2010,105.5
01657000,Целинный муниципальный район,2011,124.5
01657000,Целинный муниципальный район,2012,262.0
01657000,Целинный муниципальный район,2013,254.0
01657000,Целинный муниципальный район,2014,256.0
01658000,Чарышский муниципальный район,2008,62.5
01658000,Чарышский муниципальный район,2009,22.0
01659000,Шипуновский муниципальный район,2008,1691.7
01659000,Шипуновский муниципальный район,2009,2764.4
01659000,Шипуновский муниципальный район,2010,2832.7
01659000,Шипуновский муниципальный район,2011,3851.5
01659000,Шипуновский муниципальный район,2012,733.0
01659000,Шипуновский муниципальный район,2013,3237.0
01659000,Шипуновский муниципальный район,2014,2742.0
01659000,Шипуновский муниципальный район,2015,2440.0
01659000,Шипуновский муниципальный район,2016,3504.0
01659000,Шипуновский муниципальный район,2017,3589.0
01659000,Шипуновский муниципальный район,2018,3205.0
01659000,Шипуновский муниципальный район,2019,2724.0
01659000,Шипуновский муниципальный район,2020,2746.0
01659000,Шипуновский муниципальный район,2021,5307.0
01659000,Шипуновский муниципальный район,2022,2145.0
01660000,Немецкий национальный муниципальный район,2008,243.3
01660000,Немецкий национальный муниципальный район,2009,38.0
01660000,Немецкий национальный муниципальный район,2010,55.0
01660000,Немецкий национальный муниципальный район,2011,205.1
01660000,Немецкий национальный муниципальный район,2012,38.0
01660000,Немецкий национальный муниципальный район,2014,44.0
01701000,город Барнаул,2008,310811.0
01701000,город Барнаул,2009,257213.2
01701000,город Барнаул,2010,323902.5
01701000,город Барнаул,2011,345196.2
01701000,город Барнаул,2012,430649.0
01701000,город Барнаул,2013,389433.0
01701000,город Барнаул,2014,529664.0
01701000,город Барнаул,2015,566915.0
01701000,город Барнаул,2016,624374.0
01701000,город Барнаул,2017,693093.0
01701000,город Барнаул,2018,836909.0
01701000,город Барнаул,2019,867051.0
01701000,город Барнаул,2020,910233.0
01701000,город Барнаул,2021,964316.0
01701000,город Барнаул,2022,1080572.0
01703000,город Алейск,2008,5472.9
01703000,город Алейск,2009,3745.4
01703000,город Алейск,2010,6732.5
01703000,город Алейск,2011,8558.2
01703000,город Алейск,2012,9240.0
01703000,город Алейск,2013,4974.0
01703000,город Алейск,2014,10240.0
01703000,город Алейск,2015,10056.0
01703000,город Алейск,2016,13575.0
01703000,город Алейск,2017,11974.0
01703000,город Алейск,2018,14578.0
01703000,город Алейск,2019,41912.0
01703000,город Алейск,2020,37180.0
01703000,город Алейск,2021,26272.0
01703000,город Алейск,2022,20252.0
01704000,город Белокуриха,2008,11296.5
01704000,город Белокуриха,2009,11209.0
01704000,город Белокуриха,2010,12724.2
01704000,город Белокуриха,2011,13343.0
01704000,город Белокуриха,2012,14477.0
01704000,город Белокуриха,2013,15286.0
01704000,город Белокуриха,2014,17039.0
01704000,город Белокуриха,2015,17944.0
01704000,город Белокуриха,2016,20392.0
01704000,город Белокуриха,2017,23527.0
01704000,город Белокуриха,2018,22636.0
01704000,город Белокуриха,2019,28511.0
01704000,город Белокуриха,2020,23846.0
01704000,город Белокуриха,2021,30231.0
01704000,город Белокуриха,2022,32891.0
01705000,город Бийск,2008,170539.8
01705000,город Бийск,2009,128908.6
01705000,город Бийск,2010,182792.6
01705000,город Бийск,2011,222247.8
01705000,город Бийск,2012,207906.0
01705000,город Бийск,2013,213550.0
01705000,город Бийск,2014,183774.0
01705000,город Бийск,2015,201527.0
01705000,город Бийск,2016,218526.0
