oktmo,name,year,consnewapt
oktmo,municipality,year,indicator_value
03621000,Кореновский муниципальный район,2011,5.9
03623000,Красноармейский муниципальный район,2008,3.7
03623000,Красноармейский муниципальный район,2009,3.8
03623000,Красноармейский муниципальный район,2010,4.3
03623000,Красноармейский муниципальный район,2011,4.1
03624000,Крыловский муниципальный район,2008,3.3
03624000,Крыловский муниципальный район,2009,3.1
03624000,Крыловский муниципальный район,2010,3.4
03624000,Крыловский муниципальный район,2011,4.7
03625000,Крымский муниципальный район,2008,4.1
03625000,Крымский муниципальный район,2009,7.0
03625000,Крымский муниципальный район,2010,6.4
03625000,Крымский муниципальный район,2011,6.6
03627000,Курганинский муниципальный район,2008,3.6
03627000,Курганинский муниципальный район,2009,2.8
03627000,Курганинский муниципальный район,2010,2.8
03627000,Курганинский муниципальный район,2011,2.8
03628000,Кущевский муниципальный район,2008,2.5
03628000,Кущевский муниципальный район,2009,2.5
03628000,Кущевский муниципальный район,2010,3.4
03628000,Кущевский муниципальный район,2011,4.5
03630000,Лабинский муниципальный район,2008,3.5
03630000,Лабинский муниципальный район,2009,4.3
03630000,Лабинский муниципальный район,2010,4.4
03630000,Лабинский муниципальный район,2011,5.0
03632000,Ленинградский муниципальный район,2008,6.7
03632000,Ленинградский муниципальный район,2009,4.2
03632000,Ленинградский муниципальный район,2010,4.7
03632000,Ленинградский муниципальный район,2011,5.3
03633000,Мостовский муниципальный район,2008,2.6
03633000,Мостовский муниципальный район,2009,2.6
03633000,Мостовский муниципальный район,2010,2.3
03633000,Мостовский муниципальный район,2011,2.8
03634000,Новокубанский муниципальный район,2008,4.4
03634000,Новокубанский муниципальный район,2009,4.1
03634000,Новокубанский муниципальный район,2010,5.0
03634000,Новокубанский муниципальный район,2011,5.4
03635000,Новопокровский муниципальный район,2008,5.5
03635000,Новопокровский муниципальный район,2009,5.7
03635000,Новопокровский муниципальный район,2010,5.7
03635000,Новопокровский муниципальный район,2011,0.2
03637000,Отрадненский муниципальный район,2008,1.1
03637000,Отрадненский муниципальный район,2009,1.0
03637000,Отрадненский муниципальный район,2010,1.3
03637000,Отрадненский муниципальный район,2011,1.3
03639000,Павловский муниципальный район,2008,8.1
03639000,Павловский муниципальный район,2009,4.1
03639000,Павловский муниципальный район,2010,2.7
03639000,Павловский муниципальный район,2011,2.4
03641000,Приморско-Ахтарский муниципальный район,2008,3.8
03641000,Приморско-Ахтарский муниципальный район,2009,2.7
03641000,Приморско-Ахтарский муниципальный район,2010,3.9
03641000,Приморско-Ахтарский муниципальный район,2011,4.0
03643000,Северский муниципальный район,2008,3.1
03643000,Северский муниципальный район,2009,6.5
03643000,Северский муниципальный район,2010,7.5
03643000,Северский муниципальный район,2011,2.5
03645000,Славянский муниципальный район,2008,3.8
03645000,Славянский муниципальный район,2009,3.7
03645000,Славянский муниципальный район,2010,4.5
03645000,Славянский муниципальный район,2011,3.8
03647000,Староминский муниципальный район,2008,5.1
03647000,Староминский муниципальный район,2009,5.4
03647000,Староминский муниципальный район,2010,5.3
