oktmo,name,year,retailturnover
1659000,Шипуновский муниципальный район,2011,128002.4
1659000,Шипуновский муниципальный район,2012,223847.1
1659000,Шипуновский муниципальный район,2013,310901.0
1659000,Шипуновский муниципальный район,2014,392849.0
1659000,Шипуновский муниципальный район,2015,432218.0
1659000,Шипуновский муниципальный район,2016,569460.0
1660000,Немецкий национальный муниципальный район,2009,51479.4
1660000,Немецкий национальный муниципальный район,2010,60281.4
1660000,Немецкий национальный муниципальный район,2011,66076.0
1660000,Немецкий национальный муниципальный район,2012,70986.0
1660000,Немецкий национальный муниципальный район,2013,55638.3
1660000,Немецкий национальный муниципальный район,2015,160038.9
1660000,Немецкий национальный муниципальный район,2016,177539.4
1701000,город Барнаул,2009,18917454.5
1701000,город Барнаул,2010,21830712.5
1701000,город Барнаул,2011,25525295.9
1701000,город Барнаул,2012,34066841.0
1701000,город Барнаул,2013,38311943.8
1701000,город Барнаул,2014,43058947.2
1701000,город Барнаул,2015,46205957.8
1701000,город Барнаул,2016,52051216.7
1703000,город Алейск,2009,472281.2
1703000,город Алейск,2010,560190.7
1703000,город Алейск,2011,684851.2
1703000,город Алейск,2012,988725.5
1703000,город Алейск,2013,980174.0
1703000,город Алейск,2014,1044144.4
1703000,город Алейск,2015,1088967.4
1703000,город Алейск,2016,1062298.0
1704000,город Белокуриха,2009,418012.5
1704000,город Белокуриха,2010,449398.3
1704000,город Белокуриха,2011,507257.5
1704000,город Белокуриха,2012,674867.5
1704000,город Белокуриха,2013,711085.0
1704000,город Белокуриха,2014,762277.0
1704000,город Белокуриха,2015,898116.0
1704000,город Белокуриха,2016,990126.0
1705000,город Бийск,2009,4266831.3
1705000,город Бийск,2010,5079115.4
1705000,город Бийск,2011,6648584.8
1705000,город Бийск,2012,8141625.7
1705000,город Бийск,2013,9475114.6
1705000,город Бийск,2014,10659489.7
1705000,город Бийск,2015,11203679.2
1705000,город Бийск,2016,12021112.7
1706000,город Заринск,2009,408529.3
1706000,город Заринск,2010,565527.9
1706000,город Заринск,2011,677892.0
1706000,город Заринск,2012,948802.0
1706000,город Заринск,2013,1211306.0
1706000,город Заринск,2014,1350652.0
1706000,город Заринск,2015,1536380.8
1706000,город Заринск,2016,1778809.6
1710000,город Камень-на-Оби,2009,504328.0
1710000,город Камень-на-Оби,2010,633175.9
1710000,город Камень-на-Оби,2011,794544.4
1710000,город Камень-на-Оби,2012,1008196.2
1710000,город Камень-на-Оби,2013,1132841.0
1710000,город Камень-на-Оби,2014,1200991.5
1710000,город Камень-на-Оби,2015,1383352.2
1713000,город Новоалтайск,2009,717285.0
1713000,город Новоалтайск,2010,869663.4
1713000,город Новоалтайск,2011,1170309.8
1713000,город Новоалтайск,2012,1600508.5
1713000,город Новоалтайск,2013,1868723.0
1713000,город Новоалтайск,2014,2547513.1
1713000,город Новоалтайск,2015,2857699.9
1713000,город Новоалтайск,2016,3078422.0
1716000,город Рубцовск,2009,1449713.0
1716000,город Рубцовск,2010,1812450.5
1716000,город Рубцовск,2011,2168821.2
1716000,город Рубцовск,2012,3079905.1
1716000,город Рубцовск,2013,3583338.9
1716000,город Рубцовск,2014,4067462.6
1716000,город Рубцовск,2015,4527497.4
1716000,город Рубцовск,2016,4872987.9
1719000,город Славгород,2009,333251.0
1719000,город Славгород,2010,427246.9
1719000,город Славгород,2011,546052.7
1719000,город Славгород,2012,890499.3
1719000,город Славгород,2013,1008476.4
1719000,город Славгород,2014,1164807.7
1719000,город Славгород,2015,1304388.8
1719000,город Славгород,2016,1496703.8
1730000,город Яровое,2009,54417.0
1730000,город Яровое,2010,228990.8
1730000,город Яровое,2011,313049.1
1730000,город Яровое,2012,298714.1
1730000,город Яровое,2013,337375.0
1730000,город Яровое,2014,370572.5
1730000,город Яровое,2015,411300.9
1730000,город Яровое,2016,612666.9
1755000,ЗАТО Сибирский,2016,370790.0
3601000,Абинский муниципальный район,2010,1102228.4
3601000,Абинский муниципальный район,2011,1366738.8
3601000,Абинский муниципальный район,2012,1434003.4
3601000,Абинский муниципальный район,2013,1575546.2
3601000,Абинский муниципальный район,2014,1635790.8
3601000,Абинский муниципальный район,2015,1817147.6
3601000,Абинский муниципальный район,2016,1988901.4
3605000,Апшеронский муниципальный район,2010,932199.1
3605000,Апшеронский муниципальный район,2011,1177067.4
3605000,Апшеронский муниципальный район,2012,1202936.6
3605000,Апшеронский муниципальный район,2013,1330619.4
3605000,Апшеронский муниципальный район,2014,1514130.5
3605000,Апшеронский муниципальный район,2015,1356190.0
3605000,Апшеронский муниципальный район,2016,1543027.1
