oktmo,name,year,factoriescap
1654000,Усть-Калманский муниципальный район,2017,1293761.6
1654000,Усть-Калманский муниципальный район,2018,1326745.4
1654000,Усть-Калманский муниципальный район,2019,1653291.6
1654000,Усть-Калманский муниципальный район,2020,1814149.8
1654000,Усть-Калманский муниципальный район,2021,2033079.8
1654000,Усть-Калманский муниципальный район,2022,2105279.2
1655000,Усть-Пристанский муниципальный район,2017,243839.6
1655000,Усть-Пристанский муниципальный район,2018,296298.1
1655000,Усть-Пристанский муниципальный район,2019,317275.9
1655000,Усть-Пристанский муниципальный район,2020,329174.4
1655000,Усть-Пристанский муниципальный район,2021,378256.0
1655000,Усть-Пристанский муниципальный район,2022,340220.4
1656000,Хабарский муниципальный район,2017,3572225.4
1656000,Хабарский муниципальный район,2018,4183439.4
1656000,Хабарский муниципальный район,2019,4501333.9
1656000,Хабарский муниципальный район,2020,4338599.6
1656000,Хабарский муниципальный район,2021,5021894.1
1656000,Хабарский муниципальный район,2022,4909685.3
1657000,Целинный муниципальный район,2017,3095933.6
1657000,Целинный муниципальный район,2018,3129756.0
1657000,Целинный муниципальный район,2019,3667695.1
1657000,Целинный муниципальный район,2020,3608095.0
1657000,Целинный муниципальный район,2021,3938391.7
1657000,Целинный муниципальный район,2022,6017192.7
1658000,Чарышский муниципальный район,2017,347158.0
1658000,Чарышский муниципальный район,2018,395522.1
1658000,Чарышский муниципальный район,2019,374510.1
1658000,Чарышский муниципальный район,2020,424409.4
1658000,Чарышский муниципальный район,2021,425307.1
1658000,Чарышский муниципальный район,2022,429178.4
1659000,Шипуновский муниципальный район,2017,1044032.8
1659000,Шипуновский муниципальный район,2018,1366551.6
1659000,Шипуновский муниципальный район,2019,1330769.3
1659000,Шипуновский муниципальный район,2020,4744911.1
1659000,Шипуновский муниципальный район,2021,5691729.9
1659000,Шипуновский муниципальный район,2022,7439836.7
1660000,Немецкий национальный муниципальный район,2017,1581350.1
1660000,Немецкий национальный муниципальный район,2018,1898683.3
1660000,Немецкий национальный муниципальный район,2019,2038156.8
1660000,Немецкий национальный муниципальный район,2020,2300486.4
1660000,Немецкий национальный муниципальный район,2021,2567444.5
1660000,Немецкий национальный муниципальный район,2022,3077157.7
1701000,город Барнаул,2017,146986915.6
1701000,город Барнаул,2018,168986629.9
1701000,город Барнаул,2019,182179110.8
1701000,город Барнаул,2020,192211169.3
1701000,город Барнаул,2021,224711619.0
1701000,город Барнаул,2022,258812426.5
1703000,город Алейск,2017,7350699.7
1703000,город Алейск,2018,7656533.9
1703000,город Алейск,2019,10089380.8
1703000,город Алейск,2020,10276334.4
1703000,город Алейск,2021,9143302.5
1703000,город Алейск,2022,12300995.1
1704000,город Белокуриха,2017,5340527.1
1704000,город Белокуриха,2018,5304368.8
1704000,город Белокуриха,2019,5499062.3
1704000,город Белокуриха,2020,3984031.8
1704000,город Белокуриха,2021,6469205.3
1704000,город Белокуриха,2022,8099376.9
1705000,город Бийск,2017,45271158.2
1705000,город Бийск,2018,44188318.4
1705000,город Бийск,2019,47939428.1
1705000,город Бийск,2020,49387980.0
1705000,город Бийск,2021,51844528.2
1705000,город Бийск,2022,69913270.8
1706000,город Заринск,2017,72350186.5
1706000,город Заринск,2018,65492576.5
1706000,город Заринск,2019,57418940.3
1706000,город Заринск,2020,51880607.5
1706000,город Заринск,2021,115772057.6
1706000,город Заринск,2022,102007148.3
1713000,город Новоалтайск,2017,21908469.3
1713000,город Новоалтайск,2018,29817457.3
1713000,город Новоалтайск,2019,34736395.3
1713000,город Новоалтайск,2020,28082389.9
1713000,город Новоалтайск,2021,31155760.4
1713000,город Новоалтайск,2022,39315930.0
1716000,город Рубцовск,2017,20940556.5
1716000,город Рубцовск,2018,20442297.0
1716000,город Рубцовск,2019,23692231.9
1716000,город Рубцовск,2020,22281134.4
1716000,город Рубцовск,2021,25914864.1
1716000,город Рубцовск,2022,30786916.9
1719000,город Славгород,2017,1937229.6
1719000,город Славгород,2018,2214433.6
1719000,город Славгород,2019,2381789.9
1719000,город Славгород,2020,2412103.6
1719000,город Славгород,2021,2677701.8
1719000,город Славгород,2022,4762573.7
1730000,город Яровое,2017,1077137.4
1730000,город Яровое,2018,872222.0
1730000,город Яровое,2019,661757.3
1730000,город Яровое,2020,557493.9
1730000,город Яровое,2021,842970.9
1730000,город Яровое,2022,1346448.1
1755000,ЗАТО Сибирский,2017,381352.6
1755000,ЗАТО Сибирский,2018,302233.3
1755000,ЗАТО Сибирский,2019,284678.8
1755000,ЗАТО Сибирский,2020,362802.6
1755000,ЗАТО Сибирский,2021,383610.4
1755000,ЗАТО Сибирский,2022,412300.4
3601000,Абинский муниципальный район,2017,39443911.9
3601000,Абинский муниципальный район,2018,46148214.0
3601000,Абинский муниципальный район,2019,55262389.4
3601000,Абинский муниципальный район,2020,66534349.6
3601000,Абинский муниципальный район,2021,113142203.9
3601000,Абинский муниципальный район,2022,107811718.3
3605000,Апшеронский муниципальный район,2017,2732477.5
3605000,Апшеронский муниципальный район,2018,2733546.3
3605000,Апшеронский муниципальный район,2019,3052152.8
3605000,Апшеронский муниципальный район,2020,3306375.8
3605000,Апшеронский муниципальный район,2021,3660005.8
3605000,Апшеронский муниципальный район,2022,7105698.4
3607000,Белоглинский муниципальный район,2017,8083165.2
3607000,Белоглинский муниципальный район,2018,10979148.8
3607000,Белоглинский муниципальный район,2019,9896124.7
3607000,Белоглинский муниципальный район,2020,9912128.0
3607000,Белоглинский муниципальный район,2021,13720269.0
3607000,Белоглинский муниципальный район,2022,13206861.1
3608000,Белореченский муниципальный район,2017,26995095.4
3608000,Белореченский муниципальный район,2018,33152952.0
3608000,Белореченский муниципальный район,2019,29159542.1
3608000,Белореченский муниципальный район,2020,29968913.5
3608000,Белореченский муниципальный район,2021,42279203.5
3608000,Белореченский муниципальный район,2022,57531125.3
3610000,Брюховецкий муниципальный район,2017,7256617.2
3610000,Брюховецкий муниципальный район,2018,8357375.5
3610000,Брюховецкий муниципальный район,2019,8345657.3
3610000,Брюховецкий муниципальный район,2020,8744833.2
3610000,Брюховецкий муниципальный район,2021,10994173.8
3610000,Брюховецкий муниципальный район,2022,12919496.2
3612000,Выселковский муниципальный район,2017,30345674.5
3612000,Выселковский муниципальный район,2018,32866582.5
3612000,Выселковский муниципальный район,2019,37956833.9
3612000,Выселковский муниципальный район,2020,52919637.0
3612000,Выселковский муниципальный район,2021,59058583.8
3612000,Выселковский муниципальный район,2022,66918623.7
3613000,Гулькевичский муниципальный район,2017,15375482.1
3613000,Гулькевичский муниципальный район,2018,17539485.5
3613000,Гулькевичский муниципальный район,2019,19170451.2
3613000,Гулькевичский муниципальный район,2020,27210730.2
3613000,Гулькевичский муниципальный район,2021,29258754.7
3613000,Гулькевичский муниципальный район,2022,36942505.7
3614000,Динской муниципальный район,2017,28188840.6
3614000,Динской муниципальный район,2018,28410487.7
3614000,Динской муниципальный район,2019,31954016.4
3614000,Динской муниципальный район,2020,38915346.0
3614000,Динской муниципальный район,2021,53221162.9
3614000,Динской муниципальный район,2022,55188533.6
3616000,Ейский муниципальный район,2017,12417438.0
3616000,Ейский муниципальный район,2018,13479273.5
3616000,Ейский муниципальный район,2019,13846640.5
3616000,Ейский муниципальный район,2020,15212461.6
3616000,Ейский муниципальный район,2021,18056502.1
3616000,Ейский муниципальный район,2022,22526349.1
3618000,Кавказский муниципальный район,2017,12332534.1
3618000,Кавказский муниципальный район,2018,11131174.8
3618000,Кавказский муниципальный район,2019,11180618.5
3618000,Кавказский муниципальный район,2020,13507983.1
3618000,Кавказский муниципальный район,2021,20591892.6
3618000,Кавказский муниципальный район,2022,27197115.3
3619000,Калининский муниципальный район,2017,6541920.2
3619000,Калининский муниципальный район,2018,6678920.6
3619000,Калининский муниципальный район,2019,7597729.9
3619000,Калининский муниципальный район,2020,10189218.0
3619000,Калининский муниципальный район,2021,11653766.4
3619000,Калининский муниципальный район,2022,15052441.8
3620000,Каневской муниципальный район,2017,23373720.8
3620000,Каневской муниципальный район,2018,24314342.2
3620000,Каневской муниципальный район,2019,28504576.0
3620000,Каневской муниципальный район,2020,27415553.9
3620000,Каневской муниципальный район,2021,34241010.8
3620000,Каневской муниципальный район,2022,44737573.7
3621000,Кореновский муниципальный район,2017,20450370.4
3621000,Кореновский муниципальный район,2018,28979343.5
3621000,Кореновский муниципальный район,2019,29502421.8
3621000,Кореновский муниципальный район,2020,31809861.9
3621000,Кореновский муниципальный район,2021,38815972.1
3621000,Кореновский муниципальный район,2022,46012957.3
3623000,Красноармейский муниципальный район,2017,13749344.3
3623000,Красноармейский муниципальный район,2018,14554195.2
3623000,Красноармейский муниципальный район,2019,17070639.9
3623000,Красноармейский муниципальный район,2020,17775783.3
3623000,Красноармейский муниципальный район,2021,22164749.0
3623000,Красноармейский муниципальный район,2022,26440701.1
3624000,Крыловский муниципальный район,2017,772001.0
3624000,Крыловский муниципальный район,2018,926150.7
3624000,Крыловский муниципальный район,2019,1464892.3
3624000,Крыловский муниципальный район,2020,1575180.8
3624000,Крыловский муниципальный район,2021,2697597.3
3624000,Крыловский муниципальный район,2022,3748276.2
3625000,Крымский муниципальный район,2017,14860281.8
3625000,Крымский муниципальный район,2018,15838011.2
3625000,Крымский муниципальный район,2019,16816101.2
3625000,Крымский муниципальный район,2020,18375029.4
3625000,Крымский муниципальный район,2021,16203494.2
3625000,Крымский муниципальный район,2022,22242675.0
3627000,Курганинский муниципальный район,2017,7455447.9
3627000,Курганинский муниципальный район,2018,7518578.1
3627000,Курганинский муниципальный район,2019,10641035.6
3627000,Курганинский муниципальный район,2020,15179069.6
3627000,Курганинский муниципальный район,2021,12832418.3
3627000,Курганинский муниципальный район,2022,16936544.9
3628000,Кущевский муниципальный район,2017,15305204.1
3628000,Кущевский муниципальный район,2018,20560422.7
3628000,Кущевский муниципальный район,2019,20550448.4
3628000,Кущевский муниципальный район,2020,13099725.4
3628000,Кущевский муниципальный район,2021,18311197.2
3628000,Кущевский муниципальный район,2022,16036203.7
3630000,Лабинский муниципальный район,2017,19682022.0
3630000,Лабинский муниципальный район,2018,15378124.6
3630000,Лабинский муниципальный район,2019,19044416.0
3630000,Лабинский муниципальный район,2020,14240679.5
3630000,Лабинский муниципальный район,2021,16604714.1
3630000,Лабинский муниципальный район,2022,17090502.9
3632000,Ленинградский муниципальный район,2017,14257014.2
3632000,Ленинградский муниципальный район,2018,14694636.4
3632000,Ленинградский муниципальный район,2019,15892941.5
3632000,Ленинградский муниципальный район,2020,15473734.0
3632000,Ленинградский муниципальный район,2021,18558403.8
3632000,Ленинградский муниципальный район,2022,25030524.8
3633000,Мостовский муниципальный район,2017,6812804.7
3633000,Мостовский муниципальный район,2018,6890163.2
3633000,Мостовский муниципальный район,2019,8545296.8
3633000,Мостовский муниципальный район,2020,8797462.2
3633000,Мостовский муниципальный район,2021,10576111.0
3633000,Мостовский муниципальный район,2022,10640797.3
3634000,Новокубанский муниципальный район,2017,11009521.6
3634000,Новокубанский муниципальный район,2018,13258851.2
3634000,Новокубанский муниципальный район,2019,12694073.0
3634000,Новокубанский муниципальный район,2020,13228685.0
3634000,Новокубанский муниципальный район,2021,16672385.6
3634000,Новокубанский муниципальный район,2022,17292536.9
3635000,Новопокровский муниципальный район,2017,5334892.6
3635000,Новопокровский муниципальный район,2018,4691730.1
3635000,Новопокровский муниципальный район,2019,4937307.1
3635000,Новопокровский муниципальный район,2020,3096602.6
3635000,Новопокровский муниципальный район,2021,6404828.2
3635000,Новопокровский муниципальный район,2022,6492143.2
3637000,Отрадненский муниципальный район,2017,1673585.9
3637000,Отрадненский муниципальный район,2018,2050208.2
3637000,Отрадненский муниципальный район,2019,3075188.8
3637000,Отрадненский муниципальный район,2020,4217422.0
3637000,Отрадненский муниципальный район,2021,3886866.5
3637000,Отрадненский муниципальный район,2022,4435684.1
