oktmo,name,year,parks
3630000,Лабинский муниципальный район,2015,1.0
3630000,Лабинский муниципальный район,2016,1.0
3630000,Лабинский муниципальный район,2017,1.0
3630101,Лабинское,2007,1.0
3630101,Лабинское,2008,1.0
3630101,Лабинское,2009,1.0
3630101,Лабинское,2010,1.0
3630101,Лабинское,2011,1.0
3630101,Лабинское,2012,1.0
3630101,Лабинское,2013,1.0
3630101,Лабинское,2014,1.0
3630101,Лабинское,2015,1.0
3630101,Лабинское,2016,1.0
3630101,Лабинское,2017,1.0
3633000,Мостовский муниципальный район,2016,1.0
3633000,Мостовский муниципальный район,2017,1.0
3633431,Костромское,2016,1.0
3633431,Костромское,2017,1.0
3634000,Новокубанский муниципальный район,2007,1.0
3634000,Новокубанский муниципальный район,2008,1.0
3634000,Новокубанский муниципальный район,2009,1.0
3634000,Новокубанский муниципальный район,2010,1.0
3634000,Новокубанский муниципальный район,2011,1.0
3634000,Новокубанский муниципальный район,2012,1.0
3634000,Новокубанский муниципальный район,2013,1.0
3634000,Новокубанский муниципальный район,2014,1.0
3634000,Новокубанский муниципальный район,2015,1.0
3634000,Новокубанский муниципальный район,2016,1.0
3634000,Новокубанский муниципальный район,2017,1.0
3634101,Новокубанское,2007,1.0
3634101,Новокубанское,2008,1.0
3634101,Новокубанское,2009,1.0
3634101,Новокубанское,2010,1.0
3634101,Новокубанское,2011,1.0
3634101,Новокубанское,2012,1.0
3634101,Новокубанское,2013,1.0
3634101,Новокубанское,2014,1.0
3634101,Новокубанское,2015,1.0
3634101,Новокубанское,2016,1.0
3634101,Новокубанское,2017,1.0
3641000,Приморско-Ахтарский муниципальный район,2007,3.0
3641000,Приморско-Ахтарский муниципальный район,2008,1.0
3641000,Приморско-Ахтарский муниципальный район,2009,1.0
3641000,Приморско-Ахтарский муниципальный район,2010,1.0
3641000,Приморско-Ахтарский муниципальный район,2011,1.0
3641000,Приморско-Ахтарский муниципальный район,2012,1.0
3641000,Приморско-Ахтарский муниципальный район,2013,1.0
3641000,Приморско-Ахтарский муниципальный район,2014,1.0
3641000,Приморско-Ахтарский муниципальный район,2015,1.0
