oktmo,name,year,cliniccap
1615414,Зимарёвский сельсовет,2013,10.0
1615427,Калманский сельсовет,2008,401.0
1615427,Калманский сельсовет,2009,279.0
1615427,Калманский сельсовет,2010,279.0
1615427,Калманский сельсовет,2011,178.0
1615427,Калманский сельсовет,2012,178.0
1615427,Калманский сельсовет,2013,178.0
1615457,Новоромановский сельсовет,2008,139.0
1615457,Новоромановский сельсовет,2009,42.0
1615457,Новоромановский сельсовет,2010,42.0
1615457,Новоромановский сельсовет,2011,42.0
1615457,Новоромановский сельсовет,2012,42.0
1615457,Новоромановский сельсовет,2013,42.0
1615468,Обской сельсовет,2008,59.0
1615468,Обской сельсовет,2009,42.0
1615468,Обской сельсовет,2010,42.0
1615468,Обской сельсовет,2011,42.0
1615468,Обской сельсовет,2012,42.0
1615468,Обской сельсовет,2013,42.0
1616000,Каменский муниципальный район,2008,250.0
1616000,Каменский муниципальный район,2009,221.0
1616000,Каменский муниципальный район,2010,221.0
1616000,Каменский муниципальный район,2011,221.0
1616000,Каменский муниципальный район,2012,221.0
1616000,Каменский муниципальный район,2013,221.0
1616417,Гоноховский сельсовет,2008,17.0
1616417,Гоноховский сельсовет,2009,20.0
1616417,Гоноховский сельсовет,2010,20.0
1616417,Гоноховский сельсовет,2011,20.0
1616417,Гоноховский сельсовет,2012,20.0
1616417,Гоноховский сельсовет,2013,20.0
1616437,Корниловский сельсовет,2008,30.0
1616437,Корниловский сельсовет,2009,30.0
1616437,Корниловский сельсовет,2010,30.0
1616437,Корниловский сельсовет,2011,30.0
1616437,Корниловский сельсовет,2012,30.0
1616437,Корниловский сельсовет,2013,30.0
1616461,Новоярковский сельсовет,2008,55.0
1616461,Новоярковский сельсовет,2009,45.0
1616461,Новоярковский сельсовет,2010,45.0
1616461,Новоярковский сельсовет,2011,45.0
1616461,Новоярковский сельсовет,2012,45.0
1616461,Новоярковский сельсовет,2013,45.0
1616473,Попереченский сельсовет,2008,26.0
1616473,Попереченский сельсовет,2009,26.0
1616473,Попереченский сельсовет,2010,26.0
1616473,Попереченский сельсовет,2011,26.0
1616473,Попереченский сельсовет,2012,26.0
1616473,Попереченский сельсовет,2013,26.0
1616482,Рыбинский сельсовет,2008,70.0
1616482,Рыбинский сельсовет,2009,60.0
1616482,Рыбинский сельсовет,2010,60.0
1616482,Рыбинский сельсовет,2011,60.0
1616482,Рыбинский сельсовет,2012,60.0
1616482,Рыбинский сельсовет,2013,60.0
1616486,Столбовский сельсовет,2008,52.0
1616486,Столбовский сельсовет,2009,40.0
1616486,Столбовский сельсовет,2010,40.0
1616486,Столбовский сельсовет,2011,40.0
1616486,Столбовский сельсовет,2012,40.0
1616486,Столбовский сельсовет,2013,40.0
1617000,Ключевский муниципальный район,2008,366.0
1617000,Ключевский муниципальный район,2009,390.0
1617000,Ключевский муниципальный район,2010,390.0
1617000,Ключевский муниципальный район,2011,390.0
1617000,Ключевский муниципальный район,2012,347.0
1617000,Ключевский муниципальный район,2013,347.0
1617415,Истимисский сельсовет,2008,9.0
1617415,Истимисский сельсовет,2009,9.0
1617415,Истимисский сельсовет,2010,13.0
1617415,Истимисский сельсовет,2013,13.0
1617424,Ключевский сельсовет,2008,280.0
1617424,Ключевский сельсовет,2009,304.0
1617424,Ключевский сельсовет,2010,250.0
1617424,Ключевский сельсовет,2011,313.0
1617424,Ключевский сельсовет,2012,268.0
1617424,Ключевский сельсовет,2013,250.0
1617435,Новополтавский сельсовет,2008,35.0
1617435,Новополтавский сельсовет,2009,35.0
1617435,Новополтавский сельсовет,2010,55.0
1617435,Новополтавский сельсовет,2011,35.0
1617435,Новополтавский сельсовет,2012,37.0
1617435,Новополтавский сельсовет,2013,55.0
1617446,Петуховский сельсовет,2008,42.0
1617446,Петуховский сельсовет,2009,42.0
1617446,Петуховский сельсовет,2010,72.0
1617446,Петуховский сельсовет,2011,42.0
1617446,Петуховский сельсовет,2012,42.0
1617446,Петуховский сельсовет,2013,29.0
1618000,Косихинский муниципальный район,2008,360.0
1618000,Косихинский муниципальный район,2009,360.0
1618000,Косихинский муниципальный район,2010,360.0
1618000,Косихинский муниципальный район,2011,360.0
1618000,Косихинский муниципальный район,2012,390.0
1618000,Косихинский муниципальный район,2013,390.0
1618406,Баюновский сельсовет,2008,45.0
1618406,Баюновский сельсовет,2009,45.0
1618406,Баюновский сельсовет,2010,45.0
1618406,Баюновский сельсовет,2011,50.0
1618406,Баюновский сельсовет,2012,25.0
1618406,Баюновский сельсовет,2013,25.0
1618430,Контошинский сельсовет,2008,25.0
1618430,Контошинский сельсовет,2009,25.0
1618430,Контошинский сельсовет,2010,25.0
1618430,Контошинский сельсовет,2011,15.0
1618430,Контошинский сельсовет,2012,30.0
1618430,Контошинский сельсовет,2013,30.0
1618434,Косихинский сельсовет,2008,195.0
1618434,Косихинский сельсовет,2009,195.0
