name,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Красногорск,174.9,61.8,660,84503.7,38.47),8.7,35.4,38.1,233.8,14.6,35,6953,79823.5,32143.2,630.2,11174,107508.0,4885.3,419
Люберцы,209.6,36,733,76531.7,33.87),12.5,28,33.3,183.5,3.6,46.2,5501,35389.8,16240.3,323.5,5870,51283.2,2372.4,1615
Мытищи,262.7,69.1,712,73297.1,28.37),11.8,25.9,36,181,3.6,45.3,8997,148783.0,19870.1,387.9,5933,142173.8,3660.3,18252
Ногинск,101.4,36.4,355,64757.9,30.57),6.1,25.6,50.1,131.5,7.7,46.8,2678,93252.3,2147.7,105.1,1438,34426.2,1649.5,-699
Одинцово,138.9,43.7,486,75092.0,48.67),11.5,30.3,58.2,202.5,32.7,33.1,5665,95334.79999999999,18152.1,519.1,7420,43638.9,2717.4,3141
Орехово-Зуево,117.8,18.8,862,56218.0,26.87),5.7,27.4,66.3,218.8,12.7,51.1,1591,110296.3,266.9,58.8,676,25223.0,622.9,902
Подольск,309.7,74.4,814,68755.9,29.77),18.2,34.6,58.2,205.8,14.8,52.1,7666,160196.2,9240.7,100.7,791,101477.9,3450.0,2546
Пушкино,109.8,21.5,384,59554.4,36.67),5.4,…,…,…,7.5,45.2,3646,43540.6,10617.7,148.3,1034,48248.3,1630.9,1605
Рамен-ское,125,27.5,437,63256.2,38.17),6.4,22.7,41,120,27.5,51.9,2581,42064.90000000001,2627.6,384.5,3637,30263.0,1055.1,1408
Реутов,108.3,18.6,379,70789.1,32.2,6.5,32.5,31,102.9,7.8,46.3,1888,45399.100000000006,561.2,–,–,35247.8,1715.1,1006
Серпухов,125,22.9,437,57304.6,31.57),7.1,25.8,51.2,122.5,29,58.4,2411,40993.3,2595.7,142,1331,23109.7,1386.6,897
Химки,256.3,95.8,670,94891.7,38.6,17.5,28,32.5,165.1,4.9,34.4,9895,113871.4,10735.6,139.7,2192,172748.1,16804.8,37
Щелково,128.8,31.2,451,72547.0,32.37),7.1,…,…,…,12.3,35.5,3479,130066.90000000001,6482.6,198.6,1922,35884.5,1089.7,892
Электро-сталь,149.1,27,548,58462.6,23.07),7,19.7,43.7,148.9,6.6,54.4,2451,56015.0,3518.4,2.3,24,22060.1,1454.5,-1815
Орёл,308.8,84.1,1056,35028.7,30.7,13.8,80.3,167.6,358.7,16.7,55.6,8153,56300.1,4202.9,96.3,1757,41077.8,845.2,-883
Орёл,303.7,82.1,3087,37647.2,31.9,14,82.3,148.1,361.6,23.4,55.4,7888,63615.4,5735.6,179.1,2780,44196.4,673.1,-19913)
Орёл,298.2,80.4,1022,41161.8,32.6,14.2,83.6,146.5,374,28.9,58.4,7802,87384.2,3811.7,96.6,1339,51118.3,883,-1668
Рязань,539.3,152.1,820,41740.0,29.4,22.6,83.7,116.7,286.5,18.5,56.5,19048,246370.6,5723.6,446.2,8166,67849.2,2113.6,1489
Рязань,534.8,150.2,7806,44269.9,31.1,22.8,87.2,118.8,301,15.2,66.8,17493,255919.4,3331.9,345.3,6101,70221.9,2325.8,-274
Рязань,529.4,150.6,1057,48767.1,32,25,89.9,126.8,726.6,18.6,69,16759,341400.49999999994,4055.1,407.5,7218,87369.8,3044.5,959
Смоленск,325.5,91.5,1230,37396,28.3,15.7,99.6,136.7,356.5,22.9,52.7,16991,74822.9,1190.9,160.1,2511,55644.7,806.1,-2552
Смоленск,320.2,90.5,7136,38922,29.3,16,100.3,131.6,359.8,22.5,52.3,15275,78393.20000000001,1402.0,189.7,2988,53613.0,708.7,-2971
Смоленск,317.2,88.6,1145,42458,30.2,16.3,100.9,137,366.3,22.5,52.6,15051,82250.5,1583.8,182.2,2783,63144.2,925.2,272
Тамбов,292.1,85.1,621,34037.4,29.6,16.2,75,149.9,436.6,36.3,73.1,8379,66093.4,3812.8,433.2,4052,50619.9,968.5,1775
