name,year,popsize,avgemployers,unemployed,avgsalary,livarea,beforeschool,docsperpop,bedsperpop,cliniccap,invests,funds,companies,factoriescap,conscap,consnewareas,consnewapt,retailturnover,foodservturnover,saldo
Ковров,2017,137.6,41.2,394,34636.2,26.2,8.9,41.4,68.5,549.6,4.3,50.5,2819,60970.7,461.1,63.1,1101,8721.6,85.6,-170
Ковров,2018,136.0,40.6,285,38693.9,26.9,8.7,42.2,70.5,531.1,3.4,49.1,2685,59008.9,1051.8,53.9,920,9873.4,154.1,-686
Муром,2017,117.9,30.2,998,28254.2,25.7,7.8,38.5,73.3,475.3,7.6,43.4,1799,36787.6,…,39.1,320,9133.8,93.2,-153
Муром,2018,116.8,29.5,919,30095.7,26.2,7.5,39.3,72.8,478.5,10.1,45.5,1763,39467.299999999996,430.4,32.0,365,9429.0,83.9,-351
Воронеж,2017,1047.5,260.7,4519,35202.3,28.1,48100,84.8,116.4,285.2,22.6,50.4,43940,190304.1,18926.0,1110.4,17383,103850.7,2100.6,9100
Воронеж,2018,1054.1,263.8,4612,38974.5,28.7,50640,85.4,115.9,294.1,32.7,52.3,40764,194387.7,17039.9,1104.9,16714,127813.7,2488.4,8235
Иваново,2017,406.1,81.9,911,29496.4,24.3,21.7,72.4,132.6,257.0,19.1,49.2,21832,54645.50000000001,1815.7,181.4,2374,36769.1,1164.1,991
Иваново,2018,405.1,81.7,789,32462.7,24.9,22.0,73.9,134.5,265.0,20.7,51.3,21383,60646.100000000006,529.1,239.5,3524,42446.7,1580.4,813
Калуга,2017,340.9,114.1,527,39653.2,25.3,15.4,60.1,122.0,270.0,34.6,48.1,11564,333417.39999999997,17494.4,308.4,4669,45034.4,662.9,-575
Калуга,2018,336.7,116.0,396,44257.9,25.2,15.8,67.1,124.4,282.0,28.7,51.0,11070,425864.30000000005,13817.9,304.8,4931,50576.1,924.6,-3101
Обнинск,2017,115.0,27.6,227,46066.5,26.3,6.3,59.6,99.9,302.2,14.4,37.8,4900,60055.100000000006,433.6,135.8,2284,11198.4,487.5,1389
Обнинск,2018,118.2,28.2,168,50801.9,26.8,6.7,67.7,111.4,309.8,3.2,38.4,4619,58233.3,388.0,149.1,2629,13312.7,508.9,2944
Кострома,2017,277.3,66.3,486,30365.5,25.4,13.5,48.8,86.7,299.0,22.9,50.9,10162,52159.4,528.4,206.7,3447,14728.9,716.5,-199
Кострома,2018,276.1,67.0,499,34114.5,25.8,13.5,49.4,86.6,287.9,22.8,52.0,9340,66835.1,528.2,90.5,1438,18568.6,691.7,-819
Курск,2017,448.7,116.6,1675,29746.8,27.1,15.6,75.7,97.5,314.3,7.7,39.9,14268,90901.59999999999,8893.5,330.8,5659,43951.9,1092.1,492
Курск,2018,449.6,116.0,1427,32749.0,27.6,15.9,79.4,98.1,318.7,12.3,42.4,13307,95754.70000000001,8533.7,291.7,4381,51087.8,1026.9,1892
Железногорск,2017,100.7,31.3,427,32157.4,25.0,5.5,33.3,49.0,301.8,5.4,28.1,1322,33150.7,755.1,45.7,710,6282.1,253.5,329
Железногорск,2018,100.5,31.6,362,34137.2,25.6,5.3,32.9,48.6,302.5,7.9,32.6,1267,42329.7,574.6,56.8,777,7291.9,255.8,126
Липецк,2017,509.7,134.4,931,36194.5,27.1,22.8,62.0,101.2,473.9,9.2,63.8,14732,523574.79999999993,10228.3,565.2,5356,55966.7,980.9,168
Липецк,2018,509.4,135.0,738,39817.2,27.7,22.6,60.8,96.6,482.5,10.0,65.8,13774,628264.7,10358.0,381.3,4244,63187.3,1093.7,740
Елец,2017,104.3,25.3,500,26744.5,28.2,5.1,39.6,76.0,339.8,4.4,46.4,1267,17043.2,759.5,22.8,162,8393.8,185.4,-84
Елец,2018,103.2,24.6,494,29496.0,28.6,5.1,43.3,76.9,338.8,5.3,41.7,1206,18486.1,452.0,26.2,281,9217.4,174.3,-419
Балашиха,2017,468.2,53.4,1568,50766.0,26.5,20.1,20.9,31.7,134.0,41.7,38.1,9892,58690.7,4710.4,278.9,4329,77974.3,1706.8,14807
Долгопрудный,2017,108.9,17.7,241,67809.7,31.1,7.2,34.2,48.1,163.1,10.3,53.6,3902,18507.1,…,91.4,1195,8966.2,84.8,4600
Домодедово,2017,127.9,55.4,317,59910.2,41.2,7.6,28.8,30.7,174.5,13.8,34.5,5684,28552.7,10323.7,530.4,9801,32188.8,7771.7,3117
