0-4_male,5-9_male,10-14_male,15-19_male,20-24_male,25-29_male,30-34_male,35-39_male,40-44_male,45-49_male,50-54_male,55-59_male,60-64_male,65-69_male,0-4_female,5-9_female,10-14_female,15-19_female,20-24_female,25-29_female,30-34_female,35-39_female,40-44_female,45-49_female,50-54_female,55-59_female,60-64_female,65-69_female,risk
0.07367,0.06506,0.06177,0.04138,0.0621,0.0847,0.07635,0.06976,0.07153,0.0567,0.142,0.0858,0.0673,0.04187,0.05582,0.05878,0.05643,0.0489,0.0579,0.05963,0.07513,0.0707,0.0709,0.05484,0.1577,0.09326,0.08167,0.05832,0.0
0.0703,0.068,0.06177,0.04398,0.0513,0.0884,0.07587,0.0719,0.0702,0.06024,0.1362,0.0845,0.0692,0.04807,0.0547,0.05798,0.0557,0.04977,0.0559,0.05743,0.07245,0.07104,0.0725,0.05682,0.1505,0.09375,0.085,0.06635,0.0
0.0658,0.0708,0.06354,0.04263,0.04333,0.0913,0.079,0.07104,0.07074,0.06354,0.1311,0.08374,0.071,0.05252,0.05167,0.0586,0.05737,0.05273,0.05255,0.05664,0.0706,0.0708,0.0749,0.05862,0.1437,0.09076,0.08984,0.07117,0.0
0.0607,0.07385,0.0662,0.04517,0.03516,0.09265,0.08246,0.0737,0.07135,0.0659,0.12415,0.07916,0.0745,0.05487,0.04877,0.05896,0.05777,0.0578,0.05002,0.05835,0.06616,0.0733,0.0746,0.06305,0.1357,0.0877,0.09314,0.0746,0.0
0.05347,0.0761,0.0689,0.05673,0.02757,0.0888,0.08527,0.0747,0.073,0.0679,0.11786,0.07355,0.0799,0.05627,0.04556,0.05804,0.06046,0.06042,0.04987,0.05972,0.06104,0.0762,0.074,0.06744,0.13,0.0847,0.09534,0.0773,0.0
0.04944,0.0782,0.06976,0.0665,0.02298,0.08075,0.09033,0.0777,0.0721,0.0719,0.112,0.0668,0.0832,0.05838,0.0422,0.05844,0.06213,0.0614,0.05045,0.0615,0.05844,0.0766,0.0746,0.0736,0.1254,0.0796,0.0953,0.0804,0.0
0.0766,0.06793,0.0643,0.0551,0.04028,0.07117,0.0823,0.0756,0.0649,0.06934,0.1547,0.08215,0.066,0.02977,0.0742,0.05582,0.0557,0.05045,0.03647,0.0642,0.07526,0.0728,0.0699,0.06573,0.1713,0.095,0.07227,0.0409,0.0
0.07904,0.06775,0.0646,0.0544,0.04013,0.0665,0.07654,0.0748,0.068,0.0636,0.1548,0.0849,0.067,0.03778,0.07074,0.05957,0.0547,0.0475,0.03763,0.05853,0.0728,0.07086,0.072,0.0646,0.1719,0.09686,0.0718,0.05063,0.0
0.07733,0.0694,0.06494,0.0543,0.04254,0.0597,0.0728,0.0739,0.0712,0.06116,0.1521,0.0869,0.06775,0.04596,0.0646,0.06415,0.05502,0.04745,0.03812,0.05493,0.0698,0.07184,0.071,0.06354,0.165,0.0999,0.07605,0.05853,0.0
0.0732,0.0702,0.0665,0.05338,0.04953,0.0493,0.0696,0.0759,0.0734,0.0623,0.1493,0.0882,0.06824,0.0509,0.06015,0.0689,0.0541,0.04855,0.03806,0.05032,0.0625,0.07587,0.0716,0.06097,0.1627,0.10175,0.08014,0.0644,0.0
