oktmo,name,regional,national,international
41639404,Севастьяновское,0.41379310344827586,0.3275862068965517,0.25862068965517243
41639408,Раздольевское,0.2962962962962963,0.3333333333333333,0.37037037037037035
41639412,Громовское,0.3277777777777778,0.4388888888888889,0.23333333333333334
41639416,Запорожское,0.2198952879581152,0.5863874345549738,0.193717277486911
41639420,Красноозёрное,0.22077922077922077,0.474025974025974,0.3051948051948052
41639424,Ларионовское,0.3825,0.48,0.1375
41639428,Мельниковское,0.226890756302521,0.23949579831932774,0.5336134453781513
41639432,Мичуринское,0.348993288590604,0.3087248322147651,0.3422818791946309
41639434,Ромашкинское,0.47555555555555556,0.3244444444444444,0.2
41639436,Плодовское,0.4020618556701031,0.36597938144329895,0.23195876288659795
41639440,Петровское,0.30434782608695654,0.5,0.1956521739130435
41639444,Сосновское,0.14267015706806283,0.331151832460733,0.5261780104712042
41642000,Сланцевский муниципальный район,0.21984,0.12096,0.6592
41642101,Сланцевское,0.1193004372267333,0.17301686445971268,0.707682698313554
41642404,Выскатское,0.3465909090909091,0.17045454545454544,0.48295454545454547
41642408,Загривское,0.4065934065934066,0.34065934065934067,0.25274725274725274
41642420,Новосельское,0.23745173745173745,0.1525096525096525,0.61003861003861
41642424,Гостицкое,0.30357142857142855,0.4166666666666667,0.27976190476190477
41642436,Старопольское,0.3065134099616858,0.1724137931034483,0.5210727969348659
41642440,Черновское,0.36923076923076925,0.27692307692307694,0.35384615384615387
41645000,Тихвинский муниципальный район,0.24483516483516485,0.13186813186813187,0.6232967032967033
41645101,Тихвинское,0.17992320351069666,0.13823368074602305,0.6818431157432803
41645408,Мелегежское,0.3787878787878788,0.2727272727272727,0.3484848484848485
41645410,Борское,0.5531914893617021,0.2978723404255319,0.14893617021276595
41645412,Ганьковское,0.37410071942446044,0.4748201438848921,0.1510791366906475
41645416,Горское,0.4,0.4,0.2
41645432,Цвылёвское,0.5,0.27702702702702703,0.22297297297297297
41645456,Пашозерское,0.24324324324324326,0.2702702702702703,0.4864864864864865
41645472,Коськовское,0.2894736842105263,0.40789473684210525,0.3026315789473684
41645477,Шугозерское,0.4557522123893805,0.3185840707964602,0.22566371681415928
41648000,Тосненский муниципальный район,0.13607976333954203,0.3873123698915306,0.47660786676892736
41648101,Тосненское,0.1335061568373299,0.4086195722618276,0.45787427090084254
41648105,Любанское,0.203125,0.3861607142857143,0.4107142857142857
41648108,Никольское,0.12274368231046931,0.6636582430806257,0.21359807460890493
41648154,Красноборское,0.1556420233463035,0.6575875486381323,0.1867704280155642
41648160,Рябовское,0.3225806451612903,0.45622119815668205,0.22119815668202766
41648164,Ульяновское,0.24242424242424243,0.5194805194805194,0.23809523809523808
41648165,Фёдоровское,0.08686868686868687,0.6747474747474748,0.2383838383838384
41648170,Форносовское,0.21851851851851853,0.6296296296296297,0.15185185185185185
41648418,Нурминское,0.2109090909090909,0.64,0.14909090909090908
41648430,Лисинское,0.39606126914660833,0.45295404814004375,0.15098468271334792
41648443,Тельмановское,0.0562685093780849,0.31638696939782823,0.6273445212240869
41648444,Трубникоборское,0.2857142857142857,0.515527950310559,0.19875776397515527
41648452,Федоровское,0.04365620736698499,0.4256480218281037,0.5306957708049114
41648464,Шапкинское,0.38095238095238093,0.38095238095238093,0.23809523809523808
