name,year,inflow
Мартовский сельсовет,2022,39.0
Мичуринский сельсовет,2022,23.0
Новоильинский сельсовет,2022,56.0
Плёсо-Курьинский сельсовет,2022,18.0
Свердловский сельсовет,2022,22.0
Тополинский сельсовет,2022,16.0
Утянский сельсовет,2022,27.0
Хабарский сельсовет,2022,188.0
Целинный муниципальный район,2022,376.0
Бочкарёвский сельсовет,2022,44.0
Воеводский сельсовет,2022,57.0
Дружбинский сельсовет,2022,19.0
Еландинский сельсовет,2022,8.0
Ложкинский сельсовет,2022,5.0
Марушинский сельсовет,2022,19.0
Овсянниковский сельсовет,2022,5.0
Степно-Чумышский сельсовет,2022,15.0
Сухо-Чемровский сельсовет,2022,41.0
Хомутинский сельсовет,2022,6.0
Целинный сельсовет,2022,134.0
Шалапский сельсовет,2022,23.0
Чарышский муниципальный район,2022,400.0
Берёзовский сельсовет,2022,33.0
Краснопартизанский сельсовет,2022,71.0
Малобащелакский сельсовет,2022,31.0
Маралихинский сельсовет,2022,21.0
Маякский сельсовет,2022,21.0
Алексеевский сельсовет,2022,14.0
Сентелекский сельсовет,2022,33.0
Тулатинский сельсовет,2022,33.0
Чарышский сельсовет,2022,143.0
Шипуновский муниципальный район,2022,1002.0
Белоглазовский сельсовет,2022,15.0
Бобровский сельсовет,2022,26.0
Войковский сельсовет,2022,18.0
Горьковский сельсовет,2022,22.0
Ельцовский сельсовет,2022,29.0
Зеркальский сельсовет,2022,13.0
Ильинский сельсовет,2022,3.0
Комарихинский сельсовет,2022,15.0
Краснояровский сельсовет,2022,34.0
Нечунаевский сельсовет,2022,15.0
Первомайский сельсовет,2022,14.0
Порожненский сельсовет,2022,39.0
Родинский сельсовет,2022,19.0
Российский сельсовет,2022,58.0
Самсоновский сельсовет,2022,39.0
Тугозвоновский сельсовет,2022,24.0
Урлаповский сельсовет,2022,37.0
Хлопуновский сельсовет,2022,21.0
Шипуновский сельсовет,2022,561.0
Немецкий национальный муниципальный район,2022,546.0
Гришковский сельсовет,2022,40.0
Дегтярский сельсовет,2022,34.0
Камышинский сельсовет,2022,21.0
Гальбштадтский сельсовет,2022,44.0
Николаевский сельсовет,2022,36.0
Орловский сельсовет,2022,86.0
Подсосновский сельсовет,2022,81.0
Полевской сельсовет,2022,33.0
Протасовский сельсовет,2022,44.0
Редкодубравский сельсовет,2022,33.0
Шумановский сельсовет,2022,41.0
Кусакский сельсовет,2022,53.0
город Барнаул,2022,15341.0
город Алейск,2022,698.0
город Белокуриха,2022,638.0
город Бийск,2022,4442.0
город Заринск,2022,891.0
город Новоалтайск,2022,2671.0
город Рубцовск,2022,3747.0
город Славгород,2022,1058.0
город Яровое,2022,756.0
ЗАТО Сибирский,2022,501.0
Абинский муниципальный район,2022,2185.0
Абинское,2022,1121.0
Ахтырское,2022,379.0
Варнавинское,2022,39.0
Ольгинское,2022,39.0
Мингрельское,2022,121.0
Светлогорское,2022,46.0
Федоровское,2022,84.0
Холмское,2022,356.0
Апшеронский муниципальный район,2022,1888.0
Апшеронское,2022,711.0
Хадыженское,2022,523.0
Нефтегорское,2022,203.0
Кабардинское,2022,65.0
Кубанское,2022,114.0
Куринское,2022,74.0
Мезмайское,2022,9.0
Нижегородское,2022,12.0
Новополянское,2022,50.0
Отдаленное,2022,4.0
Тверское,2022,81.0
Черниговское,2022,42.0
Белоглинский муниципальный район,2022,530.0
Белоглинское,2022,230.0
Новопавловское,2022,89.0
Успенское,2022,133.0
Центральное,2022,78.0
Белореченский муниципальный район,2022,1804.0
Белореченское,2022,834.0
Бжедуховское,2022,64.0
Великовечненское,2022,102.0
Дружненское,2022,35.0
Первомайское,2022,68.0
Пшехское,2022,86.0
Родниковское,2022,209.0
Рязанское,2022,91.0
Черниговское,2022,55.0
Школьненское,2022,75.0
Южненское,2022,185.0
Брюховецкий муниципальный район,2022,1189.0
Батуринское,2022,105.0
Большебейсугское,2022,49.0
Брюховецкое,2022,533.0
