oktmo,name,year,musartschool
1619423,Красногорский сельсовет,2013,1.0
1619423,Красногорский сельсовет,2014,1.0
1619423,Красногорский сельсовет,2015,1.0
1619423,Красногорский сельсовет,2016,1.0
1619423,Красногорский сельсовет,2017,1.0
1620000,Краснощёковский муниципальный район,2007,1.0
1620000,Краснощёковский муниципальный район,2008,1.0
1620000,Краснощёковский муниципальный район,2009,1.0
1620000,Краснощёковский муниципальный район,2010,1.0
1620000,Краснощёковский муниципальный район,2011,1.0
1620000,Краснощёковский муниципальный район,2012,1.0
1620000,Краснощёковский муниципальный район,2013,1.0
1620000,Краснощёковский муниципальный район,2014,1.0
1620000,Краснощёковский муниципальный район,2015,1.0
1620000,Краснощёковский муниципальный район,2016,1.0
1620000,Краснощёковский муниципальный район,2017,1.0
1620430,Краснощёковский сельсовет,2007,1.0
1620430,Краснощёковский сельсовет,2008,1.0
1620430,Краснощёковский сельсовет,2009,1.0
1620430,Краснощёковский сельсовет,2010,1.0
1620430,Краснощёковский сельсовет,2011,1.0
1620430,Краснощёковский сельсовет,2012,1.0
1620430,Краснощёковский сельсовет,2013,1.0
1620430,Краснощёковский сельсовет,2014,1.0
1620430,Краснощёковский сельсовет,2015,1.0
1620430,Краснощёковский сельсовет,2016,1.0
1620430,Краснощёковский сельсовет,2017,1.0
1621000,Крутихинский муниципальный район,2007,1.0
1621000,Крутихинский муниципальный район,2008,1.0
1621000,Крутихинский муниципальный район,2009,1.0
1621000,Крутихинский муниципальный район,2010,1.0
1621000,Крутихинский муниципальный район,2011,1.0
1621000,Крутихинский муниципальный район,2012,1.0
1621000,Крутихинский муниципальный район,2013,1.0
1621000,Крутихинский муниципальный район,2014,1.0
1621000,Крутихинский муниципальный район,2015,1.0
1621000,Крутихинский муниципальный район,2016,1.0
1621000,Крутихинский муниципальный район,2017,1.0
1621430,Крутихинский сельсовет,2007,1.0
1621430,Крутихинский сельсовет,2008,1.0
1621430,Крутихинский сельсовет,2009,1.0
1621430,Крутихинский сельсовет,2010,1.0
1621430,Крутихинский сельсовет,2011,1.0
1621430,Крутихинский сельсовет,2012,1.0
1621430,Крутихинский сельсовет,2013,1.0
1621430,Крутихинский сельсовет,2014,1.0
1621430,Крутихинский сельсовет,2015,1.0
1621430,Крутихинский сельсовет,2016,1.0
1621430,Крутихинский сельсовет,2017,1.0
1622000,Кулундинский муниципальный район,2007,1.0
1622000,Кулундинский муниципальный район,2008,1.0
1622000,Кулундинский муниципальный район,2009,1.0
1622000,Кулундинский муниципальный район,2010,1.0
1622000,Кулундинский муниципальный район,2011,1.0
1622000,Кулундинский муниципальный район,2012,1.0
1622000,Кулундинский муниципальный район,2013,1.0
1622000,Кулундинский муниципальный район,2014,1.0
1622000,Кулундинский муниципальный район,2015,1.0
1622000,Кулундинский муниципальный район,2016,1.0
1622000,Кулундинский муниципальный район,2017,1.0
1622460,Кулундинский сельсовет,2007,1.0
1622460,Кулундинский сельсовет,2008,1.0
1622460,Кулундинский сельсовет,2009,1.0
1622460,Кулундинский сельсовет,2010,1.0
1622460,Кулундинский сельсовет,2011,1.0
1622460,Кулундинский сельсовет,2012,1.0
1622460,Кулундинский сельсовет,2013,1.0
1622460,Кулундинский сельсовет,2014,1.0
1622460,Кулундинский сельсовет,2015,1.0
1622460,Кулундинский сельсовет,2016,1.0
1622460,Кулундинский сельсовет,2017,1.0
1623000,Курьинский муниципальный район,2007,1.0
1623000,Курьинский муниципальный район,2008,1.0
1623000,Курьинский муниципальный район,2009,1.0
1623000,Курьинский муниципальный район,2010,1.0
1623000,Курьинский муниципальный район,2011,1.0
1623000,Курьинский муниципальный район,2012,1.0
1623000,Курьинский муниципальный район,2013,1.0
1623000,Курьинский муниципальный район,2014,1.0
1623000,Курьинский муниципальный район,2015,1.0
1623000,Курьинский муниципальный район,2016,1.0
1623000,Курьинский муниципальный район,2017,1.0
1623466,Курьинский сельсовет,2008,1.0
1623466,Курьинский сельсовет,2009,1.0
1623466,Курьинский сельсовет,2010,1.0
1623466,Курьинский сельсовет,2011,1.0
1623466,Курьинский сельсовет,2012,1.0
1623466,Курьинский сельсовет,2013,1.0
1623466,Курьинский сельсовет,2014,1.0
1623466,Курьинский сельсовет,2015,1.0
1623466,Курьинский сельсовет,2016,1.0
1623466,Курьинский сельсовет,2017,1.0
1624000,Кытмановский муниципальный район,2007,1.0
1624000,Кытмановский муниципальный район,2008,1.0
1624000,Кытмановский муниципальный район,2009,1.0
1624000,Кытмановский муниципальный район,2010,1.0
1624000,Кытмановский муниципальный район,2011,1.0
1624000,Кытмановский муниципальный район,2012,1.0
1624000,Кытмановский муниципальный район,2013,1.0
1624000,Кытмановский муниципальный район,2014,1.0
1624000,Кытмановский муниципальный район,2015,1.0
1624000,Кытмановский муниципальный район,2016,1.0
1624000,Кытмановский муниципальный район,2017,1.0
1624423,Кытмановский сельсовет,2007,1.0
1624423,Кытмановский сельсовет,2008,1.0
1624423,Кытмановский сельсовет,2009,1.0
1624423,Кытмановский сельсовет,2010,1.0
1624423,Кытмановский сельсовет,2011,1.0
1624423,Кытмановский сельсовет,2012,1.0
1624423,Кытмановский сельсовет,2013,1.0
1624423,Кытмановский сельсовет,2014,1.0
1624423,Кытмановский сельсовет,2015,1.0
1624423,Кытмановский сельсовет,2016,1.0
1624423,Кытмановский сельсовет,2017,1.0
1625000,Локтевский муниципальный район,2007,3.0
1625000,Локтевский муниципальный район,2008,3.0
1625000,Локтевский муниципальный район,2009,3.0
1625000,Локтевский муниципальный район,2010,3.0
1625000,Локтевский муниципальный район,2011,3.0
1625000,Локтевский муниципальный район,2012,3.0
1625000,Локтевский муниципальный район,2013,1.0
1625000,Локтевский муниципальный район,2014,1.0
1625000,Локтевский муниципальный район,2015,1.0
1625000,Локтевский муниципальный район,2016,1.0
1625000,Локтевский муниципальный район,2017,1.0
1625101,город Горняк,2007,3.0
1625101,город Горняк,2008,3.0
1625101,город Горняк,2009,3.0
1625101,город Горняк,2010,3.0
1625101,город Горняк,2011,3.0
1625101,город Горняк,2012,3.0
1625101,город Горняк,2013,1.0
1625101,город Горняк,2014,1.0
1625101,город Горняк,2015,1.0
1625101,город Горняк,2016,1.0
1625101,город Горняк,2017,1.0
1626000,Мамонтовский муниципальный район,2007,1.0
1626000,Мамонтовский муниципальный район,2008,1.0
1626000,Мамонтовский муниципальный район,2009,1.0
1626000,Мамонтовский муниципальный район,2010,1.0
1626000,Мамонтовский муниципальный район,2011,1.0
1626000,Мамонтовский муниципальный район,2012,1.0
1626000,Мамонтовский муниципальный район,2013,1.0
1626000,Мамонтовский муниципальный район,2014,1.0
1626000,Мамонтовский муниципальный район,2015,1.0
1626000,Мамонтовский муниципальный район,2016,1.0
1626000,Мамонтовский муниципальный район,2017,1.0
1626449,Мамонтовский сельсовет,2007,1.0
1626449,Мамонтовский сельсовет,2008,1.0
1626449,Мамонтовский сельсовет,2009,1.0
1626449,Мамонтовский сельсовет,2010,1.0
1626449,Мамонтовский сельсовет,2011,1.0
1626449,Мамонтовский сельсовет,2012,1.0
1626449,Мамонтовский сельсовет,2013,1.0
1626449,Мамонтовский сельсовет,2014,1.0
1626449,Мамонтовский сельсовет,2015,1.0
1626449,Мамонтовский сельсовет,2016,1.0
1626449,Мамонтовский сельсовет,2017,1.0
1627000,Михайловский муниципальный район,2007,2.0
1627000,Михайловский муниципальный район,2008,2.0
1627000,Михайловский муниципальный район,2009,2.0
1627000,Михайловский муниципальный район,2010,2.0
1627000,Михайловский муниципальный район,2011,2.0
1627000,Михайловский муниципальный район,2012,2.0
1627000,Михайловский муниципальный район,2013,2.0
1627000,Михайловский муниципальный район,2014,2.0
1627000,Михайловский муниципальный район,2015,2.0
1627000,Михайловский муниципальный район,2016,1.0
