oktmo,name,year,docsnum
1619000,Красногорский муниципальный район,2008,25.0
1619000,Красногорский муниципальный район,2009,25.0
1619000,Красногорский муниципальный район,2010,24.0
1619000,Красногорский муниципальный район,2011,27.0
1619000,Красногорский муниципальный район,2012,26.0
1619000,Красногорский муниципальный район,2013,27.0
1619407,Быстрянский сельсовет,2008,1.0
1619407,Быстрянский сельсовет,2009,2.0
1619407,Быстрянский сельсовет,2010,2.0
1619407,Быстрянский сельсовет,2011,2.0
1619407,Быстрянский сельсовет,2012,1.0
1619407,Быстрянский сельсовет,2013,2.0
1619423,Красногорский сельсовет,2008,21.0
1619423,Красногорский сельсовет,2009,20.0
1619423,Красногорский сельсовет,2010,19.0
1619423,Красногорский сельсовет,2011,22.0
1619423,Красногорский сельсовет,2012,22.0
1619423,Красногорский сельсовет,2013,22.0
1619456,Соусканихинский сельсовет,2008,1.0
1619456,Соусканихинский сельсовет,2009,1.0
1619456,Соусканихинский сельсовет,2010,1.0
1619456,Соусканихинский сельсовет,2011,1.0
1619456,Соусканихинский сельсовет,2012,1.0
1619456,Соусканихинский сельсовет,2013,1.0
1619478,Усть-Ишинский сельсовет,2008,1.0
1619478,Усть-Ишинский сельсовет,2009,1.0
1619478,Усть-Ишинский сельсовет,2010,1.0
1619478,Усть-Ишинский сельсовет,2011,1.0
1619478,Усть-Ишинский сельсовет,2012,1.0
1619478,Усть-Ишинский сельсовет,2013,1.0
1619489,Усть-Кажинский сельсовет,2008,1.0
1619489,Усть-Кажинский сельсовет,2009,1.0
1619489,Усть-Кажинский сельсовет,2010,1.0
1619489,Усть-Кажинский сельсовет,2011,1.0
1619489,Усть-Кажинский сельсовет,2012,1.0
1619489,Усть-Кажинский сельсовет,2013,1.0
1620000,Краснощёковский муниципальный район,2008,39.0
1620000,Краснощёковский муниципальный район,2009,39.0
1620000,Краснощёковский муниципальный район,2010,36.0
1620000,Краснощёковский муниципальный район,2011,36.0
1620000,Краснощёковский муниципальный район,2012,35.0
1620000,Краснощёковский муниципальный район,2013,36.0
1620412,Берёзовский сельсовет,2008,2.0
1620412,Берёзовский сельсовет,2009,2.0
1620412,Берёзовский сельсовет,2010,1.0
1620412,Берёзовский сельсовет,2011,1.0
1620412,Берёзовский сельсовет,2012,1.0
1620412,Берёзовский сельсовет,2013,1.0
1620417,Верх-Камышенский сельсовет,2008,1.0
1620417,Верх-Камышенский сельсовет,2009,1.0
1620417,Верх-Камышенский сельсовет,2010,1.0
1620417,Верх-Камышенский сельсовет,2011,1.0
1620417,Верх-Камышенский сельсовет,2012,1.0
1620417,Верх-Камышенский сельсовет,2013,1.0
1620424,Карповский сельсовет,2008,2.0
1620424,Карповский сельсовет,2009,2.0
1620424,Карповский сельсовет,2010,1.0
1620424,Карповский сельсовет,2011,1.0
1620424,Карповский сельсовет,2012,1.0
1620424,Карповский сельсовет,2013,1.0
1620430,Краснощёковский сельсовет,2008,30.0
1620430,Краснощёковский сельсовет,2009,30.0
1620430,Краснощёковский сельсовет,2010,30.0
1620430,Краснощёковский сельсовет,2011,30.0
1620430,Краснощёковский сельсовет,2012,29.0
1620430,Краснощёковский сельсовет,2013,30.0
1620442,Маралихинский сельсовет,2008,2.0
1620442,Маралихинский сельсовет,2009,2.0
1620442,Маралихинский сельсовет,2010,1.0
1620442,Маралихинский сельсовет,2011,1.0
1620442,Маралихинский сельсовет,2012,1.0
1620442,Маралихинский сельсовет,2013,1.0
1620448,Новошипуновский сельсовет,2008,1.0
1620448,Новошипуновский сельсовет,2009,1.0
1620448,Новошипуновский сельсовет,2010,1.0
1620448,Новошипуновский сельсовет,2011,1.0
1620448,Новошипуновский сельсовет,2012,1.0
1620448,Новошипуновский сельсовет,2013,1.0
1620481,Харловский сельсовет,2008,1.0
