oktmo,name,year,theatres
07632422,Янкульский сельсовет,2016,0.0
07633402,Балтийский сельсовет,2016,0.0
07633404,Галюгаевский сельсовет,2016,0.0
07633406,Кановский сельсовет,2016,0.0
07633407,Курский сельсовет,2016,0.0
07633410,Мирненский сельсовет,2016,0.0
07633413,Полтавский сельсовет,2016,0.0
07633416,Ростовановский сельсовет,2016,0.0
07633419,Рощинский сельсовет,2016,0.0
07633422,Русский сельсовет,2016,0.0
07633425,Серноводский сельсовет,2016,0.0
07633426,cтаница Стодеревская,2016,0.0
07633428,село Эдиссия,2016,0.0
07636402,Бургун-Маджарский сельсовет,2016,0.0
07636402,Бургун-Маджарский сельсовет,2017,0.0
07636404,Величаевский сельсовет,2016,0.0
07636404,Величаевский сельсовет,2017,0.0
07636407,Владимировский сельсовет,2016,0.0
07636407,Владимировский сельсовет,2017,0.0
07636409,Заринский сельсовет,2016,0.0
07636409,Заринский сельсовет,2017,0.0
07636410,село Левокумское,2016,0.0
07636410,село Левокумское,2017,0.0
07636413,Николо-Александровский сельсовет,2016,0.0
07636413,Николо-Александровский сельсовет,2017,0.0
07636414,посёлок Новокумский,2016,0.0
07636414,посёлок Новокумский,2017,0.0
07636416,село Правокумское,2016,0.0
07636416,село Правокумское,2017,0.0
07636417,село Приозерское,2016,0.0
07636417,село Приозерское,2017,0.0
07636419,Турксадский сельсовет,2016,0.0
07636419,Турксадский сельсовет,2017,0.0
07636422,cело Урожайное,2016,0.0
07636422,cело Урожайное,2017,0.0
07639101,город Минеральные Воды,2014,0.0
07641101,город Нефтекумск,2016,0.0
07641101,город Нефтекумск,2017,0.0
07641153,поселок Затеречный,2016,0.0
07641153,поселок Затеречный,2017,0.0
07641402,село Ачикулак,2016,0.0
07641402,село Ачикулак,2017,0.0
07641403,Закумский сельсовет,2016,0.0
07641403,Закумский сельсовет,2017,0.0
07641404,Зимнеставочный сельсовет,2016,0.0
07641404,Зимнеставочный сельсовет,2017,0.0
07641405,Зункарский сельсовет,2016,0.0
07641405,Зункарский сельсовет,2017,0.0
07641407,Кара-Тюбинский сельсовет,2016,0.0
07641407,Кара-Тюбинский сельсовет,2017,0.0
07641410,Каясулинский сельсовет,2016,0.0
07641410,Каясулинский сельсовет,2017,0.0
07641413,Махмуд-Мектебский сельсовет,2016,0.0
07641413,Махмуд-Мектебский сельсовет,2017,0.0
07641416,Новкус-Артезианский сельсовет,2016,0.0
07641416,Новкус-Артезианский сельсовет,2017,0.0
07641419,Озек-Суатский сельсовет,2016,0.0
07641419,Озек-Суатский сельсовет,2017,0.0
07641422,Тукуй-Мектебский сельсовет,2016,0.0
07641422,Тукуй-Мектебский сельсовет,2017,0.0
07643101,город Новоалександровск,2013,0.0
07643101,город Новоалександровск,2016,0.0
07643101,город Новоалександровск,2017,0.0
07643402,Горьковский сельсовет,2016,0.0
07643404,Григорополисский сельсовет,2016,0.0
07643406,станица Кармалиновская,2016,0.0
07643407,Краснозоринский сельсовет,2016,0.0
07643410,Присадовый сельсовет,2016,0.0
07643412,Радужский сельсовет,2013,0.0
07643412,Радужский сельсовет,2014,0.0
07643412,Радужский сельсовет,2016,0.0
07643413,Раздольненский сельсовет,2016,0.0
07643416,станица Расшеватская,2016,0.0
07643417,Светлинский сельсовет,2016,0.0
07643419,Темижбекский сельсовет,2016,0.0
07643423,Красночервонный сельсовет,2016,0.0
07644402,село Долиновка,2016,0.0
07644404,Журавский сельсовет,2016,0.0
07644407,село Китаевское,2016,0.0
07644409,Новомаякский сельсовет,2016,0.0
07644410,село Новоселицкое,2016,0.0
07644412,село Падинское,2016,0.0
07644413,село Чернолесское,2016,0.0
